step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
148,TRANSFER,99168.97,C193359947,99168.97,0.0,C1492417626,0.0,0.0,1,0
396,PAYMENT,4149.51,C2085637888,0.0,0.0,M72162457,0.0,0.0,0,0
362,CASH_OUT,1936403.59,C796529058,1936403.59,0.0,C338861738,10709890.51,12646294.1,1,0
131,CASH_IN,32016.86,C986918570,14710109.78,14742126.64,C366528057,947427.55,915410.69,0,0
370,TRANSFER,1053100.62,C116820736,0.0,0.0,C1059154356,4581137.75,5634238.36,0,0
161,CASH_IN,99285.14,C21422492,1615.0,100900.14,C1041343942,522712.71,423427.57,0,0
133,CASH_OUT,110500.37,C1667811291,51304.0,0.0,C1908212538,14633.87,125134.25,0,0
130,CASH_OUT,1494432.21,C735684642,1494432.21,0.0,C653403017,0.0,1494432.21,1,0
200,CASH_OUT,54380.21,C1509680221,54380.21,0.0,C457987066,2492737.75,2547117.96,1,0
139,CASH_IN,76630.48,C191973338,1632065.17,1708695.65,C1232150613,10741759.91,10665129.43,0,0
284,CASH_IN,85592.31,C129230422,14663.0,100255.31,C955288631,150309.77,64717.46,0,0
17,CASH_IN,73678.7,C42262334,30372.0,104050.7,C1803523930,576207.86,502529.16,0,0
164,CASH_IN,181071.17,C13125673,7076285.66,7257356.83,C734851371,606453.4,425382.23,0,0
389,TRANSFER,1090527.71,C1037819437,1090527.71,0.0,C1813486985,0.0,0.0,1,0
297,CASH_IN,142060.91,C1603200079,13268887.03,13410947.95,C335356822,5218927.33,5076866.41,0,0
284,CASH_IN,215964.2,C265809565,2227.0,218191.2,C1896740229,0.0,0.0,0,0
235,PAYMENT,8061.06,C350133401,17491.0,9429.94,M1512510776,0.0,0.0,0,0
306,PAYMENT,7640.01,C1672114335,86564.76,78924.74,M1969335677,0.0,0.0,0,0
592,CASH_OUT,134822.01,C1741448099,30010.0,0.0,C610631012,0.0,134822.01,0,0
210,CASH_OUT,67813.49,C170333543,182.0,0.0,C1055109410,421226.54,489040.03,0,0
11,TRANSFER,216149.03,C1521734595,0.0,0.0,C1266035080,5590998.3,5807147.32,0,0
19,CASH_OUT,43786.78,C1859785257,0.0,0.0,C1394302434,113344.36,157131.13,0,0
327,CASH_IN,499380.8,C1185547992,1434413.45,1933794.24,C1547202245,626865.52,127484.73,0,0
18,CASH_OUT,190078.86,C223789557,0.0,0.0,C2059850642,1014028.25,1204107.12,0,0
40,TRANSFER,438207.29,C1912105869,70810.28,0.0,C1137805002,6210814.31,6649021.61,0,0
185,CASH_OUT,15492.38,C1296835495,0.0,0.0,C210671765,662322.98,677815.36,0,0
394,CASH_IN,29589.28,C254915207,149.0,29738.28,C647282437,0.0,0.0,0,0
255,CASH_OUT,99889.89,C766535536,0.0,0.0,C601346826,762800.6,862690.48,0,0
94,TRANSFER,404021.3,C1098878234,0.0,0.0,C2014517831,2533466.16,2937487.46,0,0
376,TRANSFER,3398678.99,C1548026522,0.0,0.0,C164033249,7732215.18,11130894.18,0,0
177,CASH_OUT,435224.49,C844596827,0.0,0.0,C1762630514,520345.7,955570.18,0,0
18,PAYMENT,23576.04,C1966100845,81170.38,57594.35,M1226077848,0.0,0.0,0,0
327,CASH_IN,63499.83,C722499324,7405599.24,7469099.07,C1253758209,196572.94,133073.11,0,0
159,PAYMENT,5743.58,C1126073775,0.0,0.0,M1395242627,0.0,0.0,0,0
331,PAYMENT,9538.28,C1997327077,1709.0,0.0,M1027096009,0.0,0.0,0,0
9,CASH_IN,236116.38,C1526133255,14823.0,250939.38,C440708502,619259.0,970233.86,0,0
499,TRANSFER,705529.08,C226825556,705529.08,0.0,C526627730,0.0,0.0,1,0
207,PAYMENT,16621.75,C1170286155,46117.74,29496.0,M489746351,0.0,0.0,0,0
14,CASH_IN,213481.79,C1269893150,2915405.41,3128887.21,C1422262786,528136.85,186222.74,0,0
12,PAYMENT,13992.57,C1250606385,40667.0,26674.43,M309885673,0.0,0.0,0,0
332,TRANSFER,5534.12,C1437388171,61513.0,55978.88,C1753568266,27235.74,32769.86,0,0
164,PAYMENT,1203.4,C1692620540,24627.0,23423.6,M739058134,0.0,0.0,0,0
259,PAYMENT,5389.25,C1919927633,0.0,0.0,M415805888,0.0,0.0,0,0
229,PAYMENT,32468.25,C538427295,6369.0,0.0,M1538306558,0.0,0.0,0,0
306,CASH_OUT,149016.9,C1710327527,0.0,0.0,C51857228,705023.84,854040.74,0,0
730,CASH_OUT,1665334.68,C1772832096,1665334.68,0.0,C703136937,398538.39,2063873.07,1,0
48,PAYMENT,8208.84,C1212148611,2398.0,0.0,M395055415,0.0,0.0,0,0
300,PAYMENT,29807.54,C745907190,502442.0,472634.46,M145441288,0.0,0.0,0,0
278,CASH_OUT,28321.42,C1401562920,22402.0,0.0,C1315519703,479891.46,508212.88,0,0
22,PAYMENT,11110.44,C602522989,29.0,0.0,M527819091,0.0,0.0,0,0
354,CASH_OUT,217032.43,C1372770819,0.0,0.0,C755288485,251264.39,468296.82,0,0
727,TRANSFER,276298.49,C2044117692,276298.49,0.0,C71460104,0.0,0.0,1,0
394,CASH_IN,93095.34,C1948615973,3018812.69,3111908.02,C1773211021,2169450.06,2076354.73,0,0
141,CASH_OUT,263788.45,C1366530185,0.0,0.0,C1714137761,728696.25,992484.7,0,0
578,CASH_OUT,4961014.03,C1742941865,4961014.03,0.0,C1310890311,21847.95,4982861.98,1,0
208,CASH_OUT,83124.08,C2125291409,81632.0,0.0,C979968436,0.0,83124.08,0,0
133,CASH_OUT,160885.36,C890815896,0.0,0.0,C1887791830,357841.15,518726.51,0,0
239,CASH_IN,180208.86,C352228189,31942.0,212150.86,C604688420,237382.41,57173.55,0,0
9,CASH_IN,558043.49,C1468523988,3647932.25,4205975.74,C1165398731,1449369.52,1406556.15,0,0
158,CASH_OUT,432441.3,C1614190133,15667.0,0.0,C1617975386,0.0,432441.3,0,0
300,CASH_OUT,74188.39,C2099876165,0.0,0.0,C1913640672,3446751.55,3520939.94,0,0
373,CASH_OUT,152314.49,C1045010197,152314.49,0.0,C1827976569,144953.35,297267.84,1,0
164,PAYMENT,9911.11,C754718515,198482.0,188570.89,M433463628,0.0,0.0,0,0
427,CASH_OUT,3890627.92,C901257542,3890627.92,0.0,C1688196964,0.0,3890627.92,1,0
350,CASH_IN,352184.54,C456333332,295006.87,647191.41,C1971647109,417388.46,65203.92,0,0
302,PAYMENT,17158.21,C1292738569,10467.0,0.0,M2102079632,0.0,0.0,0,0
34,CASH_IN,332825.77,C767980796,310858.58,643684.35,C93166806,5750106.42,5417280.66,0,0
237,PAYMENT,10887.53,C1116430398,0.0,0.0,M1630527154,0.0,0.0,0,0
331,PAYMENT,31950.54,C1009467108,0.0,0.0,M1348168332,0.0,0.0,0,0
204,CASH_OUT,2144208.23,C1638233799,2144208.23,0.0,C268982217,0.0,2144208.23,1,0
323,CASH_OUT,358707.07,C1511086814,0.0,0.0,C1562875955,984033.62,1342740.69,0,0
191,PAYMENT,491.31,C1675482824,5533.0,5041.69,M316986856,0.0,0.0,0,0
37,CASH_IN,310825.38,C1071197440,2561113.63,2871939.01,C895767635,1708400.72,1397575.34,0,0
380,PAYMENT,7858.49,C1611863223,31377.0,23518.51,M1299022802,0.0,0.0,0,0
25,TRANSFER,781953.11,C763225876,781953.11,0.0,C1927695058,0.0,0.0,1,0
522,CASH_IN,380524.08,C1658016525,670.0,381194.08,C1924101666,2821.08,0.0,0,0
402,CASH_OUT,1301410.68,C756143103,1301410.68,0.0,C1385992736,307091.75,1608502.44,1,0
300,PAYMENT,16773.21,C148386732,10006.0,0.0,M1779878016,0.0,0.0,0,0
656,PAYMENT,6850.63,C281466311,15435.0,8584.37,M520996634,0.0,0.0,0,0
637,CASH_OUT,3845765.36,C2141919864,3845765.36,0.0,C1371101627,0.0,3845765.36,1,0
589,CASH_OUT,84117.61,C1499441096,1986.0,0.0,C1308444301,232999.64,317117.25,0,0
163,PAYMENT,774.9,C1264651792,30436.0,29661.1,M1823648811,0.0,0.0,0,0
214,CASH_IN,67332.67,C1119589954,4641726.66,4709059.33,C2040628508,886753.26,819420.59,0,0
327,PAYMENT,31973.95,C627294301,20042.0,0.0,M1777416957,0.0,0.0,0,0
278,CASH_OUT,296925.18,C144239192,0.0,0.0,C586752646,610776.24,907701.42,0,0
38,CASH_OUT,2824.31,C721994938,5654.0,2829.69,C1995703296,10943.8,13768.11,0,0
8,TRANSFER,60549.33,C921985845,6858.22,0.0,C1058634310,1796023.07,3071176.4,0,0
227,CASH_OUT,2815893.17,C716780385,2815893.17,0.0,C2047944461,104430.53,2920323.7,1,0
340,CASH_OUT,92145.4,C987947557,92145.4,0.0,C1630824313,388798.48,480943.88,1,0
403,CASH_OUT,26724.25,C1614470126,22125.0,0.0,C938746535,0.0,26724.25,0,0
420,PAYMENT,2676.06,C135740631,260471.61,257795.56,M1606741382,0.0,0.0,0,0
20,CASH_IN,177402.91,C1965618780,254045.13,431448.04,C922511709,5048457.83,4871054.93,0,0
264,CASH_OUT,2514878.33,C1163253466,2514878.33,0.0,C1720852348,1017845.77,3532724.1,1,0
404,PAYMENT,4428.48,C1765053686,104939.0,100510.52,M1099109097,0.0,0.0,0,0
190,CASH_OUT,68802.3,C590269436,166.0,0.0,C1668667874,0.0,68802.3,0,0
617,TRANSFER,10000000.0,C1255348086,32542664.27,22542664.27,C103172881,0.0,0.0,1,0
249,CASH_OUT,257520.83,C322917682,29519.0,0.0,C987918392,0.0,257520.83,0,0
183,PAYMENT,19637.77,C1492068295,108698.52,89060.75,M1207641799,0.0,0.0,0,0
139,CASH_IN,309238.25,C2019688890,2453326.18,2762564.43,C1552048861,2134313.78,1825075.53,0,0
249,PAYMENT,28270.22,C73254708,0.0,0.0,M290138528,0.0,0.0,0,0
286,CASH_OUT,191650.95,C1217691903,0.0,0.0,C870442279,1012891.09,1204542.03,0,0
702,TRANSFER,240746.27,C1377043932,240746.27,0.0,C868639312,0.0,0.0,1,0
393,CASH_IN,283884.97,C633656457,181076.55,464961.52,C1772085663,684598.37,400713.4,0,0
211,CASH_OUT,155664.36,C446334879,0.0,0.0,C1612022153,10506199.67,10661864.03,0,0
362,CASH_OUT,1397689.48,C851172808,1397689.48,0.0,C1693761421,0.0,1397689.48,1,0
260,PAYMENT,6517.9,C946590050,15490.0,8972.1,M277002232,0.0,0.0,0,0
130,PAYMENT,470.7,C1670175132,149032.0,148561.3,M1724437562,0.0,0.0,0,0
611,CASH_OUT,1418168.85,C1964276843,1418168.85,0.0,C164163741,10398440.86,11816609.71,1,0
429,CASH_IN,157323.02,C487935613,9077691.13,9235014.15,C650077725,907303.16,749980.14,0,0
323,CASH_OUT,153120.08,C690451307,177915.01,24794.92,C1736112221,379848.97,532969.05,0,0
177,CASH_IN,18630.59,C90051904,21057.0,39687.59,C1788267967,0.0,0.0,0,0
377,PAYMENT,13262.63,C728269703,8413.0,0.0,M882481495,0.0,0.0,0,0
322,CASH_OUT,357690.85,C1600621160,0.0,0.0,C438540401,1226381.68,1584072.52,0,0
399,CASH_IN,439676.64,C941043174,7650176.7,8089853.34,C1439466160,904844.6,465167.97,0,0
41,CASH_IN,271738.44,C626548203,100513.0,372251.44,C397033548,139085.0,0.0,0,0
227,PAYMENT,1120.17,C1459686788,0.0,0.0,M1742004529,0.0,0.0,0,0
211,CASH_OUT,106583.19,C947827674,89644.0,0.0,C521131272,0.0,106583.19,0,0
540,TRANSFER,1989311.31,C1191467360,1989311.31,0.0,C1694026164,0.0,0.0,1,0
338,DEBIT,2790.3,C723931518,17163.0,14372.7,C1697424350,1767160.68,1769950.98,0,0
251,TRANSFER,1305867.68,C2141556544,0.0,0.0,C646615080,4845395.78,6151263.45,0,0
260,PAYMENT,3459.63,C1156012786,0.0,0.0,M110925911,0.0,0.0,0,0
710,TRANSFER,1371322.0,C378242927,1371322.0,0.0,C601312976,0.0,0.0,1,0
307,CASH_OUT,8607.43,C489812332,439552.0,430944.57,C343415831,100548.34,109155.77,0,0
229,TRANSFER,37019.04,C103076793,37019.04,0.0,C1629045388,0.0,0.0,1,0
16,PAYMENT,1256.19,C1794109633,107665.0,106408.81,M76759311,0.0,0.0,0,0
188,CASH_OUT,286463.3,C1989661632,0.0,0.0,C1565397957,866812.44,1153275.74,0,0
323,PAYMENT,11700.61,C480258858,253989.6,242289.0,M1922706950,0.0,0.0,0,0
301,PAYMENT,24798.72,C536487680,0.0,0.0,M194688732,0.0,0.0,0,0
373,CASH_IN,76051.12,C734599134,4806467.53,4882518.65,C823037248,698219.49,622168.36,0,0
274,CASH_OUT,5052211.09,C253761308,5052211.09,0.0,C232278551,6890050.56,11942261.64,1,0
279,PAYMENT,10480.69,C1940746149,77749.55,67268.87,M1368016587,0.0,0.0,0,0
182,CASH_IN,209690.72,C1196389816,59948.0,269638.72,C1199718931,0.0,0.0,0,0
209,CASH_OUT,75516.26,C753682330,255704.0,180187.74,C1827261325,1247418.02,1322934.28,0,0
19,CASH_OUT,1802.24,C149951891,159.0,0.0,C1694707641,0.0,98059.67,0,0
330,CASH_OUT,39350.93,C504373960,0.0,0.0,C410572595,286649.48,326000.41,0,0
99,CASH_OUT,286670.9,C468670582,286670.9,0.0,C1129467798,1028298.11,1314969.01,1,0
78,CASH_OUT,1321091.25,C1817853136,1321091.25,0.0,C1040572676,0.0,1321091.25,1,0
431,PAYMENT,3966.62,C1806826610,23715.42,19748.8,M1576525554,0.0,0.0,0,0
306,CASH_OUT,176398.07,C64195817,0.0,0.0,C799001651,1527414.76,1703812.83,0,0
448,CASH_OUT,14133.69,C949838768,14133.69,0.0,C392215840,2634011.66,2648145.35,1,0
140,PAYMENT,21445.83,C914995232,14161.0,0.0,M1687221570,0.0,0.0,0,0
208,PAYMENT,7500.66,C1634915156,10605.0,3104.34,M284558572,0.0,0.0,0,0
484,CASH_OUT,67692.41,C1608782511,67692.41,0.0,C465350675,25595.6,93288.0,1,0
46,PAYMENT,4868.1,C324284770,20365.0,15496.9,M746186404,0.0,0.0,0,0
406,CASH_OUT,74312.98,C1888745205,0.0,0.0,C271737166,160252.31,234565.3,0,0
134,TRANSFER,252031.73,C914449349,0.0,0.0,C56845046,1178501.25,2563732.21,0,0
301,CASH_OUT,145427.36,C887241009,71779.0,0.0,C874524113,1641202.98,1786630.34,0,0
250,CASH_OUT,160787.83,C1735499659,20565.0,0.0,C128026362,64184.45,224972.28,0,0
12,TRANSFER,599022.92,C1506752947,0.0,0.0,C428540589,5304515.08,5903538.0,0,0
166,CASH_IN,192863.79,C1585197656,54218.0,247081.79,C668366505,0.0,0.0,0,0
589,CASH_OUT,35033.87,C1056180402,0.0,0.0,C1144369110,247200.39,282234.26,0,0
14,CASH_IN,442712.09,C2054271750,23206890.11,23649602.2,C1661690492,656139.06,127632.08,0,0
305,CASH_OUT,364659.68,C346342868,45542.0,0.0,C1422059077,135711.86,500371.54,0,0
571,TRANSFER,406864.17,C1077004516,406864.17,0.0,C1973933837,0.0,0.0,1,0
324,TRANSFER,362837.15,C691233312,362837.15,0.0,C834545584,0.0,0.0,1,0
186,PAYMENT,1993.43,C630030600,0.0,0.0,M1386174937,0.0,0.0,0,0
203,PAYMENT,11103.83,C1972672306,0.0,0.0,M1899578305,0.0,0.0,0,0
465,TRANSFER,2577489.07,C939367162,2577489.07,0.0,C2087484651,0.0,0.0,1,0
397,PAYMENT,25281.34,C751506506,0.0,0.0,M1952296801,0.0,0.0,0,0
355,TRANSFER,20213.65,C1653003258,14530.18,0.0,C1823601297,845359.16,865572.81,0,0
273,TRANSFER,328363.14,C1309646295,8975.0,0.0,C8078275,0.0,328363.14,0,0
17,CASH_OUT,1639676.27,C967691562,1639676.27,0.0,C2093967426,448954.92,2198318.48,1,0
277,CASH_OUT,198894.23,C365402039,6378.0,0.0,C1335904695,1301134.54,1500028.77,0,0
43,CASH_OUT,48201.13,C352574081,15111.0,0.0,C1068301929,0.0,48201.13,0,0
15,CASH_OUT,143579.07,C131510638,381806.71,238227.63,C366725855,386011.45,529590.52,0,0
93,CASH_OUT,886588.02,C700848378,886588.02,0.0,C1731783280,0.0,886588.02,1,0
420,CASH_IN,103104.22,C845294190,264803.0,367907.22,C2106139863,0.0,0.0,0,0
398,TRANSFER,697459.21,C1900087396,145513.54,0.0,C140840012,6087419.4,6784878.61,0,0
133,PAYMENT,29754.66,C1313755202,0.0,0.0,M1307236780,0.0,0.0,0,0
182,CASH_OUT,98752.57,C873127645,0.0,0.0,C844081126,138888.09,237640.66,0,0
178,CASH_OUT,60868.97,C2068481229,10483.0,0.0,C88304043,567019.74,627888.71,0,0
300,CASH_OUT,225274.74,C1485631833,0.0,0.0,C1599339249,3319834.43,3545109.17,0,0
105,TRANSFER,1767112.66,C682978594,1767112.66,0.0,C121024766,0.0,0.0,1,0
131,CASH_OUT,70060.35,C1895536912,3174.0,0.0,C1110033227,0.0,70060.35,0,0
48,PAYMENT,5154.76,C1262208807,40799.0,35644.24,M552384497,0.0,0.0,0,0
379,TRANSFER,8317724.27,C2084166173,8317724.27,0.0,C1399946131,0.0,0.0,1,0
262,CASH_OUT,2642116.95,C625254221,2642116.95,0.0,C933591789,0.0,2642116.95,1,0
186,CASH_OUT,80627.02,C1397440072,0.0,0.0,C826282580,563411.4,644038.42,0,0
307,CASH_OUT,166686.23,C971585830,19935.0,0.0,C606659950,4780956.58,4947642.81,0,0
497,TRANSFER,462441.03,C328303267,462441.03,0.0,C1304018729,0.0,0.0,1,0
262,CASH_IN,13688.12,C1283079983,12552.0,26240.12,C1270112916,7856.9,0.0,0,0
380,TRANSFER,49076.27,C955833247,49076.27,0.0,C517854187,0.0,0.0,1,0
285,PAYMENT,20051.82,C438345772,0.0,0.0,M728843153,0.0,0.0,0,0
40,CASH_OUT,212613.29,C1863248518,212613.29,0.0,C536599412,1370788.41,1583401.69,1,0
377,TRANSFER,2344540.14,C466106905,2344540.14,0.0,C2067219464,0.0,0.0,1,0
187,CASH_OUT,32047.38,C1891002710,22986.0,0.0,C1900425025,0.0,32047.38,0,0
404,PAYMENT,14308.49,C1499931047,0.0,0.0,M478136915,0.0,0.0,0,0
251,PAYMENT,99129.39,C546529509,94594.0,0.0,M1581603772,0.0,0.0,0,0
44,PAYMENT,2171.62,C2076914561,108894.64,106723.02,M503330173,0.0,0.0,0,0
132,CASH_OUT,71002.27,C1153102328,165694.56,94692.29,C1266949851,147764.52,218766.79,0,0
375,CASH_IN,67147.7,C559212856,1330147.22,1397294.92,C310164481,124128.2,56980.49,0,0
321,CASH_IN,415566.51,C187267123,11850.0,427416.51,C1824602300,9511.67,0.0,0,0
205,PAYMENT,10876.63,C621626604,118020.0,107143.37,M1372580349,0.0,0.0,0,0
275,CASH_OUT,152388.1,C1063827824,0.0,0.0,C1224731904,800535.78,952923.88,0,0
